City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,zhangye,38.9342,100.4517,22.87,10,2,3.25,CN,1683871570
311,island harbour,50.724,-1.2758,11.75,95,21,2.68,GB,1683871570
312,faya-largeau,17.9257,19.1043,28.84,21,66,10.28,TD,1683871571
313,tibati,6.4667,12.6333,21.2,93,86,0.3,CM,1683871571
314,aioun,16.6614,-9.6149,29.91,10,65,2.24,MR,1683871572
315,saint-philippe,-21.3585,55.7679,27.77,78,97,5.34,RE,1683871572
316,wenling,28.3669,121.36,16.63,79,99,1.46,CN,1683871573
317,el granada,37.5027,-122.4694,13.37,85,100,5.14,US,1683871573
318,moquegua,-17.1956,-70.9353,18.75,46,74,0.34,PE,1683871574
319,rio grande,-32.035,-52.0986,14.92,61,31,2.9,BR,1683871574
320,bryne,58.7354,5.6477,9.97,98,100,2.57,NO,1683871575
321,arraial do cabo,-22.9661,-42.0278,21.45,81,55,5.35,BR,1683871310
322,kone,-21.0595,164.8658,24.14,67,100,3.12,NC,1683871576
323,linxia chengguanzhen,35.6003,103.2064,15.97,35,95,2.71,CN,1683871576
324,remire-montjoly,4.9167,-52.2667,23.02,100,100,1.54,GF,1683871577
325,huetamo de nunez,18.5833,-100.8833,29.02,59,75,1.69,MX,1683871577
326,genc,38.7507,40.5603,16.2,67,75,1.54,TR,1683871577
327,mumford,5.2618,-0.759,27.25,82,79,1.75,GH,1683871578
328,nileshwar,12.25,75.1,30.66,65,99,3.18,IN,1683871281
329,malango,-2.9627,119.9001,28.24,65,85,2.09,ID,1683871579
330,prince rupert,54.3161,-130.3201,13.05,60,100,8.23,CA,1683871513
331,balaipungut,1.05,101.2833,30.64,78,34,1.11,ID,1683871579
332,jalpan,21.2333,-99.4833,23.7,85,0,0.56,MX,1683871580
333,pacific grove,36.6177,-121.9166,12.82,87,0,2.06,US,1683871580
334,asubulaq,49.5583,83.0558,19.01,54,92,6.25,KZ,1683871581
335,attapeu,14.8,106.8333,28.21,85,93,1.75,LA,1683871581
336,hastings,50.8552,0.5729,11.62,53,80,7.47,GB,1683871582
337,san ignacio de velasco,-16.3667,-60.95,20.18,94,81,1.52,BO,1683871582
338,okondja,-0.6549,13.6753,23.47,92,98,0.45,GA,1683871582
339,kitimat,54.0524,-128.6534,15.21,67,100,1.52,CA,1683871583
340,manokwari,-0.8667,134.0833,28.39,79,64,3.25,ID,1683871583
341,hammerfest,70.6634,23.6821,5.25,100,75,5.66,NO,1683871584
342,maryville,35.7565,-83.9705,18.94,92,100,1.54,US,1683871584
343,vylkove,45.4021,29.586,13.88,57,43,4.49,UA,1683871585
344,kirensk,57.7853,108.1119,11.92,37,100,4.42,RU,1683871586
345,nema,57.5067,50.5011,13.55,51,2,3.2,RU,1683871587
346,ma'rib,15.4591,45.3253,28.65,26,39,2.6,YE,1683871588
347,mount pearl,47.5166,-52.7813,1.75,72,20,1.03,CA,1683871529
348,plastun,44.7561,136.2939,11.67,60,4,2.37,RU,1683871589
349,nassau,40.7507,-73.5829,21.04,63,0,0.45,US,1683871589
350,sola,-13.8833,167.55,27.8,75,89,12.26,VU,1683871590
351,lata,40.1629,-8.3327,11.62,78,2,1.9,PT,1683871590
352,sarmiento,-45.5882,-69.07,12.66,57,100,9.29,AR,1683871591
353,auki,-8.7676,160.7034,28.65,77,80,1.94,SB,1683871591
354,kokpekty,48.75,82.4,22.48,38,100,7.59,KZ,1683871591
355,cambria,35.5641,-121.0808,15.13,89,4,3.8,US,1683871592
356,krutinka,56.0055,71.5113,7.88,42,0,3.85,RU,1683871592
357,mandali,33.7499,45.5541,34.16,11,0,2.04,IQ,1683871593
358,kingscliff,-28.2667,153.5667,21.54,64,40,5.14,AU,1683871593
359,san francisco de la paz,14.9,-86.2,22.2,87,100,0.72,HN,1683871593
360,northam,51.0333,-4.2167,10.77,97,3,4.11,GB,1683871594
361,zeya,53.75,127.2667,15.77,66,100,4.23,RU,1683871594
362,paka,4.6374,103.4368,32.96,66,40,2.57,MY,1683871595
363,magdagachi,53.45,125.8,17.17,51,100,4.52,RU,1683871595
